stim_nr,odor_channel,corrAns_odor,corrAns_pic,congruent,stim_name,pic_file,pic_name,odor_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_instruction.keys,key_instruction.rt,key_task.keys,key_task.rt,key_scanner.keys,key_scanner.rt,key_listen_to_breath.keys,key_listen_to_breath.rt,key_answer.keys,key_answer.corr,key_answer.rt,rating_scale.response,rating_scale.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,3,0.810222148895,,,,,,,,,,,,2016_Dec_08_1610,59.9908747248,sample_experiment,001,,
9,3,3,1,0,None,apple.jpg,apple,wood,0,0,0,8,,,3,0.50136590004,a,0.885489940643,e,2.20120286942,4,0,0.852298974991,0.39,3.016,2016_Dec_08_1610,59.9908747248,sample_experiment,001,,
12,3,3,4,-1,None,pencil.jpg,pencil,wood,0,1,1,11,,,3,3.4230298996,a,2.73604202271,e,4.74027299881,3,0,2.33737301826,0.09,7.252,2016_Dec_08_1610,59.9908747248,sample_experiment,001,,
